"Product","Year","Value"
Butter,2000,93.8333333333333
Cheese,2000,96.1
Butter,2001,98.5916666666667
Cheese,2001,96.7583333333333
Butter,2002,100.008333333333
Cheese,2002,100
Butter,2003,105.116666666667
Cheese,2003,101.266666666667
Butter,2004,107.158333333333
Cheese,2004,104.125
Butter,2005,117.858333333333
Cheese,2005,111.15
Butter,2006,122.641666666667
Cheese,2006,115.75
Butter,2007,124.741666666667
Cheese,2007,117.775
Butter,2008,127.541666666667
Cheese,2008,119.425
Butter,2009,133.533333333333
Cheese,2009,123.191666666667
Butter,2010,126.058333333333
Cheese,2010,123.958333333333
Butter,2011,132.391666666667
Cheese,2011,124.425
Butter,2012,136.083333333333
Cheese,2012,125.275
Butter,2013,136.583333333333
Cheese,2013,124.441666666667
Butter,2014,138.941666666667
Cheese,2014,126.133333333333
Butter,2015,140.8
Cheese,2015,128.083333333333
Butter,2016,144.658333333333
Cheese,2016,124.775
