"Product","Year","Value"
Butter,2000,89.625
Cheese,2000,96.2333333333333
Butter,2001,94.65
Cheese,2001,98.05
Butter,2002,100.008333333333
Cheese,2002,100.008333333333
Butter,2003,105.725
Cheese,2003,103.575
Butter,2004,105.875
Cheese,2004,106.425
Butter,2005,112.708333333333
Cheese,2005,109.683333333333
Butter,2006,116.425
Cheese,2006,113.633333333333
Butter,2007,117.583333333333
Cheese,2007,116.583333333333
Butter,2008,122.425
Cheese,2008,117.725
Butter,2009,126.408333333333
Cheese,2009,120.508333333333
Butter,2010,119.666666666667
Cheese,2010,119.591666666667
Butter,2011,123.775
Cheese,2011,121.025
Butter,2012,123.55
Cheese,2012,121.558333333333
Butter,2013,122.775
Cheese,2013,119.933333333333
Butter,2014,125.975
Cheese,2014,122.025
Butter,2015,126.733333333333
Cheese,2015,124.383333333333
Butter,2016,130.608333333333
Cheese,2016,122.525
