"Product","Year","Value"
Butter,2000,96.2833333333333
Cheese,2000,96.275
Butter,2001,98.2833333333333
Cheese,2001,98.2
Butter,2002,99.9916666666667
Cheese,2002,100.008333333333
Butter,2003,104.55
Cheese,2003,101.391666666667
Butter,2004,107.041666666667
Cheese,2004,102.9
Butter,2005,118.625
Cheese,2005,108.175
Butter,2006,122.558333333333
Cheese,2006,114.316666666667
Butter,2007,124.558333333333
Cheese,2007,116.791666666667
Butter,2008,130.166666666667
Cheese,2008,117.566666666667
Butter,2009,138.541666666667
Cheese,2009,119.091666666667
Butter,2010,129.616666666667
Cheese,2010,118.441666666667
Butter,2011,133.625
Cheese,2011,118.275
Butter,2012,136.816666666667
Cheese,2012,119.9
Butter,2013,140.891666666667
Cheese,2013,118.683333333333
Butter,2014,147.316666666667
Cheese,2014,119.433333333333
Butter,2015,148.883333333333
Cheese,2015,120.541666666667
Butter,2016,152.316666666667
Cheese,2016,119.066666666667
