"Product","Year","Value"
Tuition fees,2000,107.033333333333
School textbooks and supplies(Canada),2000,91.725
Tuition fees,2001,106.1
School textbooks and supplies(Canada),2001,95.325
Tuition fees,2002,100
School textbooks and supplies(Canada),2002,99.9916666666667
Tuition fees,2003,95.3
School textbooks and supplies(Canada),2003,102.4
Tuition fees,2004,94.9333333333333
School textbooks and supplies(Canada),2004,103.775
Tuition fees,2005,96.7
School textbooks and supplies(Canada),2005,105.216666666667
Tuition fees,2006,98.0666666666667
School textbooks and supplies(Canada),2006,106.25
Tuition fees,2007,98.2
School textbooks and supplies(Canada),2007,107.766666666667
Tuition fees,2008,97.1
School textbooks and supplies(Canada),2008,108.875
Tuition fees,2009,97.3333333333333
School textbooks and supplies(Canada),2009,112.716666666667
Tuition fees,2010,97.3
School textbooks and supplies(Canada),2010,119.683333333333
Tuition fees,2011,97.4333333333333
School textbooks and supplies(Canada),2011,125.316666666667
Tuition fees,2012,98.3333333333333
School textbooks and supplies(Canada),2012,128.425
Tuition fees,2013,99.0666666666666
School textbooks and supplies(Canada),2013,131.333333333333
Tuition fees,2014,99.9
School textbooks and supplies(Canada),2014,135.45
Tuition fees,2015,100.9
School textbooks and supplies(Canada),2015,139.9
Tuition fees,2016,102.033333333333
School textbooks and supplies(Canada),2016,143.041666666667
