"Product","Year","Value"
Rented Accomodation,2000,97.5333333333333
Owned Accomodation,2000,97.1833333333333
Rented Accomodation,2001,98.6416666666667
Owned Accomodation,2001,99.1
Rented Accomodation,2002,99.9916666666667
Owned Accomodation,2002,99.9916666666667
Rented Accomodation,2003,101.208333333333
Owned Accomodation,2003,101.491666666667
Rented Accomodation,2004,102.291666666667
Owned Accomodation,2004,103.358333333333
Rented Accomodation,2005,103.2
Owned Accomodation,2005,106.15
Rented Accomodation,2006,104.083333333333
Owned Accomodation,2006,109.2
Rented Accomodation,2007,104.808333333333
Owned Accomodation,2007,111.608333333333
Rented Accomodation,2008,105.941666666667
Owned Accomodation,2008,114.775
Rented Accomodation,2009,107.175
Owned Accomodation,2009,117.6
Rented Accomodation,2010,108.541666666667
Owned Accomodation,2010,118
Rented Accomodation,2011,109.875
Owned Accomodation,2011,118.333333333333
Rented Accomodation,2012,110.858333333333
Owned Accomodation,2012,118.45
Rented Accomodation,2013,111.866666666667
Owned Accomodation,2013,119.316666666667
Rented Accomodation,2014,112.8
Owned Accomodation,2014,121.25
Rented Accomodation,2015,113.441666666667
Owned Accomodation,2015,122.658333333333
Rented Accomodation,2016,114.441666666667
Owned Accomodation,2016,125.341666666667
