"Product","Year","Value"
Rented Accomodation,2000,96.9666666666667
Owned Accomodation,2000,94.6583333333333
Rented Accomodation,2001,98.4333333333333
Owned Accomodation,2001,98.2166666666667
Rented Accomodation,2002,100.008333333333
Owned Accomodation,2002,100.016666666667
Rented Accomodation,2003,101.358333333333
Owned Accomodation,2003,102.9
Rented Accomodation,2004,102.233333333333
Owned Accomodation,2004,105.116666666667
Rented Accomodation,2005,102.908333333333
Owned Accomodation,2005,106.816666666667
Rented Accomodation,2006,103.483333333333
Owned Accomodation,2006,110.083333333333
Rented Accomodation,2007,104.075
Owned Accomodation,2007,114.858333333333
Rented Accomodation,2008,105.016666666667
Owned Accomodation,2008,120.941666666667
Rented Accomodation,2009,106.341666666667
Owned Accomodation,2009,123.191666666667
Rented Accomodation,2010,107.775
Owned Accomodation,2010,124.3
Rented Accomodation,2011,109.116666666667
Owned Accomodation,2011,126.5
Rented Accomodation,2012,110.658333333333
Owned Accomodation,2012,128.65
Rented Accomodation,2013,112.033333333333
Owned Accomodation,2013,131.683333333333
Rented Accomodation,2014,112.975
Owned Accomodation,2014,132.95
Rented Accomodation,2015,113.983333333333
Owned Accomodation,2015,134.916666666667
Rented Accomodation,2016,115.058333333333
Owned Accomodation,2016,136.691666666667
