"Product","Year","Value"
Rented Accomodation,2000,95.675
Owned Accomodation,2000,94.7583333333333
Rented Accomodation,2001,97.5833333333333
Owned Accomodation,2001,97.9666666666667
Rented Accomodation,2002,100
Owned Accomodation,2002,100.008333333333
Rented Accomodation,2003,101.666666666667
Owned Accomodation,2003,103.05
Rented Accomodation,2004,102.808333333333
Owned Accomodation,2004,106.25
Rented Accomodation,2005,103.625
Owned Accomodation,2005,109.65
Rented Accomodation,2006,104.433333333333
Owned Accomodation,2006,112.775
Rented Accomodation,2007,105.458333333333
Owned Accomodation,2007,116.433333333333
Rented Accomodation,2008,106.358333333333
Owned Accomodation,2008,120.675
Rented Accomodation,2009,107.491666666667
Owned Accomodation,2009,122.783333333333
Rented Accomodation,2010,108.9
Owned Accomodation,2010,124.891666666667
Rented Accomodation,2011,110.016666666667
Owned Accomodation,2011,126.916666666667
Rented Accomodation,2012,111.466666666667
Owned Accomodation,2012,128.941666666667
Rented Accomodation,2013,113.35
Owned Accomodation,2013,129.616666666667
Rented Accomodation,2014,114.866666666667
Owned Accomodation,2014,132.5
Rented Accomodation,2015,116.133333333333
Owned Accomodation,2015,136.008333333333
Rented Accomodation,2016,117.333333333333
Owned Accomodation,2016,139.875
