"Product","Year","Value"
Rented Accomodation,2000,97.625
Owned Accomodation,2000,97.0916666666667
Rented Accomodation,2001,98.725
Owned Accomodation,2001,99.3666666666667
Rented Accomodation,2002,100.008333333333
Owned Accomodation,2002,99.9916666666667
Rented Accomodation,2003,101.45
Owned Accomodation,2003,101.866666666667
Rented Accomodation,2004,102.2
Owned Accomodation,2004,103.925
Rented Accomodation,2005,102.816666666667
Owned Accomodation,2005,106.958333333333
Rented Accomodation,2006,105.275
Owned Accomodation,2006,108.966666666667
Rented Accomodation,2007,106.466666666667
Owned Accomodation,2007,111.908333333333
Rented Accomodation,2008,106.891666666667
Owned Accomodation,2008,114.433333333333
Rented Accomodation,2009,109.3
Owned Accomodation,2009,114.841666666667
Rented Accomodation,2010,111.075
Owned Accomodation,2010,112.85
Rented Accomodation,2011,111.95
Owned Accomodation,2011,112.583333333333
Rented Accomodation,2012,113.108333333333
Owned Accomodation,2012,112.341666666667
Rented Accomodation,2013,114.558333333333
Owned Accomodation,2013,114.666666666667
Rented Accomodation,2014,115.533333333333
Owned Accomodation,2014,115.9
Rented Accomodation,2015,116.283333333333
Owned Accomodation,2015,116.983333333333
Rented Accomodation,2016,116.691666666667
Owned Accomodation,2016,119.05
