"Product","Year","Value"
Rented Accomodation,2000,97.8583333333333
Owned Accomodation,2000,94.775
Rented Accomodation,2001,98.8083333333334
Owned Accomodation,2001,97.9416666666667
Rented Accomodation,2002,99.9916666666667
Owned Accomodation,2002,100.008333333333
Rented Accomodation,2003,101.308333333333
Owned Accomodation,2003,104.216666666667
Rented Accomodation,2004,102.35
Owned Accomodation,2004,107.183333333333
Rented Accomodation,2005,103.491666666667
Owned Accomodation,2005,110.633333333333
Rented Accomodation,2006,104.791666666667
Owned Accomodation,2006,113.691666666667
Rented Accomodation,2007,106.125
Owned Accomodation,2007,118.125
Rented Accomodation,2008,107.258333333333
Owned Accomodation,2008,123.291666666667
Rented Accomodation,2009,108.45
Owned Accomodation,2009,125.883333333333
Rented Accomodation,2010,109.783333333333
Owned Accomodation,2010,125.9
Rented Accomodation,2011,111.125
Owned Accomodation,2011,127.516666666667
Rented Accomodation,2012,112.491666666667
Owned Accomodation,2012,129.941666666667
Rented Accomodation,2013,113.866666666667
Owned Accomodation,2013,130.991666666667
Rented Accomodation,2014,115.175
Owned Accomodation,2014,132.55
Rented Accomodation,2015,116.333333333333
Owned Accomodation,2015,133.166666666667
Rented Accomodation,2016,117.325
Owned Accomodation,2016,134.666666666667
